PROGRAMA,FECHA_EMISION,MUNICIPIO,FAMILIAS,PARTICIPANTES,BENEFICIOS,BENEFICIO_PROMEDIO,FEMENINO,MASCULINO,OTROS,EDAD_0_4,EDAD_5_13,EDAD_14_17,EDAD_18_24,EDAD_25_44,EDAD_45_64,EDAD_65,INCAPACITADOS,DEAMBULANTES,ESTUDIANTES
PAN,201404,JUNCOS,17219,47438,5080537,295.05,9778,7437,4,1328,2778,1168,1937,4079,3531,2398,1682,24,3165
PAN,201404,ARECIBO,41574,106364,11595282,278.91,23136,18429,9,3077,5623,2598,4961,9694,8825,6793,4123,142,8049
PAN,201404,HATILLO,17006,44684,4786296,281.45,9345,7658,3,1350,2296,1016,1866,4109,3695,2673,1381,5,3596
PAN,201404,FAJARDO,13585,37530,3998692,294.35,7953,5628,4,1280,2091,987,1699,3088,2330,2109,846,6,2050
PAN,201404,CAGUAS,44736,119808,12643376,282.62,26201,18511,24,3638,6884,3068,4851,9858,8961,7472,3917,199,6635
PAN,201404,TOA ALTA,21585,61822,6525709,302.33,12244,9336,5,1839,3428,1622,2434,4904,4488,2868,1957,8,5037
PAN,201404,ARROYO,8545,23804,2518276,294.71,4803,3739,3,730,1262,529,1044,2067,1748,1164,765,11,423
PAN,201404,VEGA BAJA,23320,64997,6891882,295.54,13131,10185,4,1768,3609,1611,2644,5264,4668,3755,2104,43,4914
PAN,201404,AIBONITO,11290,29947,3185077,282.11,6163,5126,1,957,1536,656,1353,2522,2561,1705,1462,7,2446
PAN,201404,CIDRA,16099,43760,4583843,284.73,9069,7026,4,1388,2324,1058,1869,3708,3459,2293,1965,7,3463
TANF,201405,CAROLINA,2029,4201,280996,138.49,1322,707,0,240,394,89,129,417,381,379,460,10,364
TANF,201405,GUAYANILLA,495,868,62556,126.38,311,184,0,28,72,21,15,99,121,139,152,0,88
TANF,201405,CAGUAS,1928,3267,225631,117.03,1202,726,0,131,254,53,66,354,596,474,693,21,106
TANF,201405,VILLALBA,406,702,47564,117.15,244,162,0,24,36,18,23,67,93,145,117,0,46
TANF,201405,NAGUABO,857,1800,127165,148.38,575,282,0,108,174,46,65,172,186,106,224,5,166
TANF,201405,ARROYO,667,1466,101881,152.75,413,254,0,77,144,32,56,147,134,76,177,0,17
TANF,201405,CAMUY,741,1341,98927,133.5,429,312,0,51,108,35,39,159,188,161,231,0,116
TANF,201405,MANATI,1164,2368,171122,147.01,731,433,0,106,230,64,68,222,232,242,252,0,194
TANF,201405,TOA BAJA,1136,2138,147450,129.8,724,412,0,92,182,56,42,207,284,273,334,1,233
PAN,201405,ADJUNTAS,9436,29203,3130944,331.81,5058,4378,0,687,1397,638,1147,2236,2095,1236,636,3,2207
PAN,201405,COMERIO,11573,30537,3356658,290.04,6243,5326,4,931,1735,716,1369,2813,2507,1501,1292,6,2345
PAN,201405,RIO PIEDRAS,14299,33981,3754251,262.55,8407,5892,0,1151,2109,831,1399,3064,3120,2625,996,460,3433
PAN,201405,HUMACAO,21962,57735,6211190,282.82,12754,9201,7,1916,3235,1377,2553,5043,4663,3175,2470,52,4066
